"filename", "language", "Rust", "comment", "blank", "total"
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E310 01/buggy.rs", "Rust", 60, 0, 11, 71
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E310 01/fixed.rs", "Rust", 60, 0, 11, 71
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E382 01/buggy.rs", "Rust", 16, 0, 5, 21
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E382 01/fixed.rs", "Rust", 17, 0, 4, 21
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E382 02/buggy/src/main.rs", "Rust", 9, 0, 5, 14
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E382 02/fixed/src/main.rs", "Rust", 34, 1, 11, 46
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E382 03/buggy.rs", "Rust", 20, 0, 4, 24
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E382 03/fixed.rs", "Rust", 22, 0, 4, 26
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E382 04/buggy.rs", "Rust", 36, 0, 2, 38
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E382 04/fixed.rs", "Rust", 36, 0, 2, 38
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E382 05/buggy.rs", "Rust", 21, 0, 5, 26
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E382 05/fixed.rs", "Rust", 24, 0, 5, 29
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E382 06/buggy.rs", "Rust", 23, 1, 6, 30
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E382 06/fixed/src/main.rs", "Rust", 28, 0, 3, 31
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E382 07/buggy.rs", "Rust", 8, 0, 0, 8
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E499 01/buggy.rs", "Rust", 18, 0, 5, 23
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E499 01/fixed.rs", "Rust", 18, 1, 4, 23
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E502 01/buggy.rs", "Rust", 17, 0, 7, 24
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E502 01/fixed.rs", "Rust", 17, 0, 7, 24
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E502 02/buggy.rs", "Rust", 29, 0, 6, 35
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E502 02/fixed.rs", "Rust", 33, 0, 5, 38
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E502 03/buggy.rs", "Rust", 28, 0, 5, 33
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E502 03/fixed.rs", "Rust", 24, 0, 5, 29
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E502 04/buggy.rs", "Rust", 28, 0, 5, 33
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E502 04/fixed.rs", "Rust", 29, 0, 5, 34
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E507 01/buggy.rs", "Rust", 13, 0, 2, 15
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E507 01/fixed.rs", "Rust", 18, 3, 6, 27
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E507 02/buggy.rs", "Rust", 21, 0, 5, 26
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E507 02/fixed.rs", "Rust", 19, 0, 4, 23
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E515 01/buggy.rs", "Rust", 27, 0, 6, 33
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E515 01/fixed.rs", "Rust", 24, 0, 6, 30
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E597 01/buggy.rs", "Rust", 18, 0, 6, 24
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E597 01/fixed.rs", "Rust", 22, 0, 7, 29
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E597 02/buggy.rs", "Rust", 25, 0, 8, 33
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E597 02/fixed.rs", "Rust", 25, 0, 8, 33
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E782 01/buggy.rs", "Rust", 31, 1, 6, 38
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E782 01/fixed.rs", "Rust", 31, 1, 6, 38
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E782 02/buggy.rs", "Rust", 16, 0, 2, 18
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E782 02/fixed.rs", "Rust", 16, 0, 2, 18
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E782 03/buggy.rs", "Rust", 17, 0, 2, 19
"/home/zhangzhicong/.ssh/Rust-Recommender/doc/code_pattern/E782 03/fixed.rs", "Rust", 17, 0, 2, 19
